Country,2015,2016,2017,2018,2019,2020,2021
Afghanistan,153,154,141,145,154,153,149
Albania,95,109,109,112,107,105,93
Algeria,68,38,53,84,88,100,109
Argentina,30,26,24,29,47,55,57
Armenia,127,121,121,129,116,116,86
Australia,10,9,10,10,11,12,11
Austria,13,12,13,12,10,9,10
Bahrain,49,42,41,43,37,40,22
Bangladesh,109,110,110,115,125,107,101
Belgium,19,18,17,16,18,20,20
Benin,155,153,143,136,102,86,99
Bolivia,51,59,58,62,61,65,69
Bosnia and Herzegovina,96,87,90,93,78,69,64
Brazil,16,17,22,28,32,32,35
Bulgaria,134,129,105,100,97,96,88
Burkina Faso,152,145,134,121,115,112,113
Cambodia,145,140,129,120,109,106,114
Cameroon,133,114,107,99,96,98,91
Canada,5,6,7,7,9,11,14
Chile,27,24,20,25,26,39,43
China,84,83,79,86,93,94,84
Colombia,33,31,36,37,43,44,52
Costa Rica,12,14,12,13,12,15,16
Croatia,62,74,77,82,75,79,60
Cyprus,67,69,65,61,49,45,39
Denmark,3,1,2,3,2,2,2
Dominican Republic,98,89,86,83,77,68,73
Ecuador,48,51,44,48,50,58,66
Egypt,135,120,104,122,137,138,132
El Salvador,42,46,45,40,35,34,49
Estonia,73,72,66,63,55,51,40
Ethiopia,122,115,119,127,134,136,133
Finland,6,5,5,1,1,1,1
France,29,32,31,23,24,23,21
Gabon,143,134,118,103,104,108,112
Georgia,130,126,125,128,119,117,108
Germany,26,16,16,15,17,17,13
Ghana,114,124,131,108,98,91,95
Greece,102,99,87,79,82,77,68
Guinea,150,151,149,140,118,102,102
Honduras,105,104,91,72,59,56,59
Hungary,104,91,75,69,62,53,53
Iceland,2,3,3,4,4,4,4
India,117,118,122,133,140,144,139
Indonesia,74,79,81,96,92,84,82
Iran,110,105,108,106,117,118,118
Iraq,112,112,117,117,126,110,111
Ireland,18,19,15,14,16,16,15
Israel,11,11,11,19,13,14,12
Italy,50,50,48,47,36,30,28
Ivory Coast,151,139,128,107,99,85,85
Jamaica,65,73,76,56,56,60,37
Japan,46,53,51,54,58,62,56
Jordan,82,80,74,90,101,119,127
Kazakhstan,54,54,60,60,60,50,45
Kenya,125,122,112,124,121,121,121
Kosovo,69,77,78,66,46,35,33
Kyrgyzstan,77,85,98,92,86,74,67
Latvia,89,68,54,53,53,57,51
Lebanon,103,93,88,80,91,111,123
Lithuania,56,60,52,50,42,41,38
Malawi,131,132,136,147,150,145,144
Malaysia,61,47,42,35,80,82,81
Mali,138,135,127,118,128,114,117
Malta,37,30,27,22,22,22,23
Mauritius,71,66,64,55,57,49,50
Mexico,14,21,25,24,23,24,36
Moldova,52,55,56,67,71,70,65
Mongolia,100,101,100,94,83,81,70
Montenegro,82,88,83,81,73,72,72
Morocco,92,90,84,85,89,97,106
Myanmar,129,119,114,130,131,133,126
Nepal,121,107,99,101,100,92,87
Netherlands,7,7,6,6,5,6,5
New Zealand,9,8,8,8,8,8,9
Nicaragua,57,48,43,41,45,46,55
Nigeria,78,103,95,91,85,115,116
Norway,4,4,1,2,3,5,6
Pakistan,81,92,80,75,67,66,105
Panama,25,25,30,27,31,36,41
Paraguay,53,70,70,64,63,67,71
Peru,58,64,63,65,65,63,63
Philippines,90,82,72,71,69,52,61
Poland,60,57,46,42,40,43,44
Portugal,88,94,89,77,66,59,58
Romania,86,71,57,52,48,47,46
Russia,64,56,49,59,68,73,76
Saudi Arabia,35,34,37,33,28,27,26
Senegal,142,128,115,109,111,101,92
Serbia,87,86,73,78,70,64,48
Sierra Leone,123,111,106,113,129,139,138
Singapore,24,22,26,34,34,31,32
Slovakia,45,45,40,39,38,37,34
Slovenia,55,63,62,51,44,33,29
South Africa,113,116,101,105,106,109,103
South Korea,47,57,55,57,54,61,62
Spain,36,37,34,36,30,28,27
Sri Lanka,132,117,120,116,130,130,129
Sweden,8,10,9,9,7,7,7
Switzerland,1,2,4,5,6,3,3
Tajikistan,106,100,96,88,74,71,78
Tanzania,146,149,153,153,153,148,142
Thailand,34,33,32,46,52,54,54
Togo,158,155,150,139,139,135,136
Tunisia,107,98,102,111,124,128,122
Turkey,76,78,69,74,79,93,104
Uganda,141,145,133,135,136,126,119
Ukraine,111,123,132,138,133,123,110
United Arab Emirates,20,28,21,20,21,21,25
United Kingdom,21,23,19,11,15,13,17
United States,15,13,14,18,19,18,19
Uruguay,32,29,28,31,33,26,31
Uzbekistan,44,49,47,44,41,38,42
Venezuela,23,44,82,102,108,99,107
Vietnam,75,96,94,95,94,83,79
Zambia,85,106,116,125,138,141,137
Zimbabwe,115,131,138,144,146,151,148
